DEP,LIBGEO,P13_H2064,P13_H65P,P13_F2064,P13_F65P
1,L'Abergement-Clémenciat,218,58,206,67
1,L'Abergement-de-Varey,74,23,69,18
1,Ambérieu-en-Bugey,4077,933,4083,1357
1,Ambérieux-en-Dombes,476,123,476,126
1,Ambléon,35,9,32,13
1,Ambronay,730,173,727,196
1,Ambutrix,237,44,233,36
1,Andert-et-Condon,98,35,88,39
1,Anglefort,315,72,294,93
1,Apremont,121,28,114,18
1,Aranc,85,34,90,40
1,Arandas,42,15,40,18
1,Arbent,1014,236,994,272
1,Arbignieu,128,60,138,58
1,Arbigny,112,41,109,40
1,Argis,117,44,121,45
1,Armix,7,2,4,4
1,Ars-sur-Formans,412,65,410,106
1,Artemare,333,99,331,148
1,Asnières-sur-Saône,21,8,23,2
1,Attignat,947,189,947,212
1,Bâgé-la-Ville,899,203,924,174
1,Bâgé-le-Châtel,216,96,226,134
1,Balan,1457,93,688,93
1,Baneins,167,42,179,35
1,Beaupont,211,52,201,56
1,Beauregard,253,45,267,55
1,Bellignat,1106,210,1076,292
1,Béligneux,932,153,961,223
1,Bellegarde-sur-Valserine,3337,837,3256,1257
1,Belley,2401,717,2456,1149
1,Belleydoux,107,27,104,22
1,Belmont-Luthézieu,151,49,158,38
1,Bénonces,93,29,71,21
1,Bény,215,48,204,56
1,Béon,139,30,138,41
1,Béréziat,142,27,127,33
1,Bettant,219,57,218,72
1,Bey,85,17,79,15
1,Beynost,1227,354,1293,423
1,Billiat,161,45,166,38
1,Birieux,77,14,84,13
1,Biziat,239,56,245,54
1,Blyes,281,45,267,56
1,La Boisse,815,226,813,261
1,Boissey,87,26,90,19
1,Bolozon,30,9,29,10
1,Bouligneux,81,32,81,29
1,Bourg-en-Bresse,11447,3067,11491,5201
1,Bourg-Saint-Christophe,382,61,375,66
1,Boyeux-Saint-Jérôme,112,31,96,38
1,Boz,143,33,134,39
1,Brégnier-Cordon,234,67,221,84
1,Brénaz,28,8,22,14
1,Brénod,144,52,149,67
1,Brens,358,80,339,82
1,Bressolles,227,58,232,57
1,Brion,162,35,146,50
1,Briord,304,41,288,62
1,Buellas,478,140,497,163
1,La Burbanche,22,9,19,8
1,Ceignes,78,12,81,18
1,Cerdon,208,50,189,111
1,Certines,452,67,438,80
1,Cessy,1381,158,1454,170
1,Ceyzériat,866,201,860,338
1,Ceyzérieu,286,97,286,98
1,Chalamont,678,143,662,237
1,Chaleins,368,62,359,61
1,Chaley,40,18,39,19
1,Challes-la-Montagne,55,20,49,20
1,Challex,402,86,391,144
1,Champagne-en-Valromey,191,105,181,155
1,Champdor,137,30,138,27
1,Champfromier,218,53,210,53
1,Chanay,154,37,170,42
1,Chaneins,255,48,235,45
1,Chanoz-Châtenay,228,46,201,57
1,La Chapelle-du-Châtelard,113,24,114,25
1,Charix,85,28,71,30
1,Charnoz-sur-Ain,294,33,279,36
1,Château-Gaillard,555,115,577,121
1,Châtenay,99,29,95,32
1,Châtillon-en-Michaille,959,173,953,219
1,Châtillon-la-Palud,434,113,444,124
1,Châtillon-sur-Chalaronne,1264,468,1302,735
1,Chavannes-sur-Reyssouze,215,59,205,72
1,Chavannes-sur-Suran,182,44,184,47
1,Chaveyriat,305,59,279,69
1,Chavornay,62,16,69,21
1,Chazey-Bons,222,82,224,84
1,Chazey-sur-Ain,475,101,452,117
1,Cheignieu-la-Balme,46,15,36,22
1,Chevillard,56,9,46,15
1,Chevroux,295,48,263,61
1,Chevry,426,67,445,75
1,Chézery-Forens,138,33,121,42
1,Civrieux,446,88,426,83
1,Cize,39,17,40,28
1,Cleyzieu,42,10,41,7
1,Coligny,297,133,284,200
1,Collonges,669,66,630,89
1,Colomieu,39,11,32,18
1,Conand,34,8,29,10
1,Condamine,137,14,118,22
1,Condeissiat,224,55,231,67
1,Confort,148,62,156,91
1,Confrançon,400,84,383,86
1,Contrevoz,141,54,135,70
1,Conzieu,44,6,40,12
1,Corbonod,354,108,343,143
1,Corcelles,58,25,64,26
1,Corlier,36,12,32,5
1,Cormaranche-en-Bugey,222,72,232,77
1,Cormoranche-sur-Saône,307,92,298,82
1,Cormoz,192,72,171,77
1,Corveissiat,172,56,183,42
1,Courmangoux,144,53,139,50
1,Courtes,76,24,78,26
1,Crans,71,24,75,31
1,Cras-sur-Reyssouze,400,78,399,89
1,Cressin-Rochefort,122,30,112,32
1,Crottet,512,115,517,115
1,Crozet,629,85,625,88
1,Cruzilles-lès-Mépillat,248,64,224,62
1,Culoz,808,271,808,317
1,Curciat-Dongalon,127,53,111,65
1,Curtafond,199,53,198,79
1,Cuzieu,115,37,118,35
1,Dagneux,1277,220,1319,253
1,Divonne-les-Bains,2537,513,2725,704
1,Dommartin,245,82,239,76
1,Dompierre-sur-Veyle,360,70,329,97
1,Dompierre-sur-Chalaronne,107,21,118,26
1,Domsure,135,49,137,41
1,Dortan,592,126,556,158
1,Douvres,294,73,319,64
1,Drom,69,11,66,16
1,Druillat,319,125,295,135
1,Échallon,238,53,212,59
1,Échenevex,550,91,571,85
1,Étrez,223,39,217,48
1,Évosges,43,9,39,18
1,Faramans,243,39,226,47
1,Fareins,623,155,639,154
1,Farges,282,57,270,57
1,Feillens,964,257,916,336
1,Ferney-Voltaire,2858,444,3113,597
1,Flaxieu,14,7,13,9
1,Foissiat,590,174,539,211
1,Francheleins,430,78,415,88
1,Frans,636,122,615,138
1,Garnerans,196,37,195,52
1,Genouilleux,181,26,179,28
1,Béard-Géovreissiat,302,33,308,32
1,Géovreisset,289,38,277,43
1,Germagnat,40,11,43,13
1,Gex,3481,426,3507,605
1,Giron,48,16,47,12
1,Gorrevod,220,60,234,69
1,Le Grand-Abergement,45,15,30,11
1,Grand-Corent,52,19,46,16
1,Grièges,530,183,539,201
1,Grilly,209,75,232,67
1,Groissiat,342,73,343,70
1,Groslée,104,29,99,38
1,Guéreins,421,96,406,96
1,Hautecourt-Romanèche,224,77,198,82
1,Hauteville-Lompnes,1137,405,1157,625
1,Hostiaz,22,12,15,16
1,Hotonnes,93,24,86,27
1,Illiat,167,48,171,52
1,Injoux-Génissiat,353,69,338,64
1,Innimond,39,13,30,14
1,Izenave,51,15,42,17
1,Izernore,662,96,698,126
1,Izieu,63,24,67,23
1,Jassans-Riottier,1729,472,1756,684
1,Jasseron,448,119,445,204
1,Jayat,321,73,299,89
1,Journans,112,21,103,20
1,Joyeux,82,10,81,15
1,Jujurieux,587,172,601,228
1,Labalme,63,13,54,17
1,Lagnieu,1963,476,2011,693
1,Laiz,347,61,361,78
1,Lalleyriat,84,15,75,11
1,Lancrans,294,72,303,93
1,Lantenay,85,18,69,23
1,Lapeyrouse,89,21,96,13
1,Lavours,39,19,30,29
1,Léaz,187,36,188,46
1,Lélex,73,15,64,26
1,Lent,406,97,403,112
1,Lescheroux,198,64,181,66
1,Leyment,372,55,379,65
1,Leyssard,47,13,45,13
1,Lhôpital,12,9,12,5
1,Lhuis,239,83,242,117
1,Lochieu,27,7,26,8
1,Lompnas,47,13,44,13
1,Lompnieu,28,15,34,21
1,Loyettes,907,140,915,187
1,Lurcy,121,30,116,24
1,Magnieu,140,29,119,37
1,Maillat,205,45,192,54
1,Malafretaz,331,59,327,77
1,Mantenay-Montlin,84,32,81,28
1,Manziat,557,161,542,186
1,Marboz,645,201,620,233
1,Marchamp,33,19,28,17
1,Marignieu,44,18,46,22
1,Marlieux,271,60,282,90
1,Marsonnas,276,89,276,85
1,Martignat,454,88,469,92
1,Massieux,674,178,711,190
1,Massignieu-de-Rives,197,51,187,55
1,Matafelon-Granges,220,28,190,41
1,Meillonnas,398,103,369,133
1,Mérignat,39,7,36,7
1,Messimy-sur-Saône,351,85,353,84
1,Meximieux,2043,454,2201,695
1,Bohas-Meyriat-Rignat,271,61,261,69
1,Mézériat,652,154,616,175
1,Mijoux,121,23,109,26
1,Mionnay,663,116,641,125
1,Miribel,2663,603,2664,874
1,Misérieux,536,95,533,99
1,Mogneneins,230,57,213,60
1,Montagnat,518,143,527,140
1,Montagnieu,157,46,154,56
1,Montanges,108,23,105,27
1,Montceaux,364,49,371,49
1,Montcet,196,39,190,36
1,Le Montellier,75,20,69,21
1,Monthieux,211,31,201,30
1,Montluel,2022,428,2016,634
1,Montmerle-sur-Saône,1039,305,1027,426
1,Montracol,279,72,283,73
1,Montréal-la-Cluse,1035,216,993,284
1,Montrevel-en-Bresse,587,258,663,404
1,Nurieux-Volognat,310,63,291,74
1,Murs-et-Gélignieux,72,24,62,28
1,Nantua,982,247,945,389
1,Nattages,169,43,165,50
1,Neuville-les-Dames,440,116,428,148
1,Neuville-sur-Ain,497,102,461,119
1,Les Neyrolles,179,47,182,49
1,Neyron,743,181,742,209
1,Niévroz,475,72,462,78
1,Nivollet-Montgriffon,40,13,31,8
1,Oncieu,29,8,26,12
1,Ordonnaz,47,13,40,16
1,Ornex,1266,172,1316,248
1,Outriaz,91,15,67,21
1,Oyonnax,6159,1623,6275,1999
1,Ozan,190,40,184,50
1,Parcieux,324,70,325,63
1,Parves,99,39,103,39
1,Péron,762,98,761,111
1,Péronnas,1638,570,1762,788
1,Pérouges,376,76,355,108
1,Perrex,233,61,241,57
1,Le Petit-Abergement,39,16,38,20
1,Peyriat,55,10,53,8
1,Peyrieu,268,54,258,65
1,Peyzieux-sur-Saône,186,22,187,16
1,Pirajoux,133,27,110,35
1,Pizay,242,41,223,49
1,Plagne,39,15,36,14
1,Le Plantay,169,29,162,25
1,Le Poizat,135,25,118,35
1,Polliat,699,217,698,235
1,Pollieu,46,19,42,18
1,Poncin,460,139,458,172
1,Pont-d'Ain,758,228,719,308
1,Pont-de-Vaux,570,255,583,410
1,Pont-de-Veyle,431,169,429,221
1,Port,258,61,249,86
1,Pougny,236,50,244,58
1,Pouillat,26,11,20,8
1,Prémeyzel,116,19,45,10
1,Prémillieu,16,5,11,2
1,Pressiat,75,14,73,17
1,Prévessin-Moëns,2153,334,2344,391
1,Priay,470,100,458,124
1,Pugieu,49,15,45,18
1,Ramasse,82,23,80,21
1,Rancé,214,31,189,32
1,Relevant,140,37,125,44
1,Replonges,1007,316,989,366
1,Revonnas,257,60,250,63
1,Reyrieux,1192,327,1239,434
1,Reyssouze,260,88,271,101
1,Rignieux-le-Franc,299,46,292,45
1,Romans,177,42,170,65
1,Rossillon,48,15,41,17
1,Ruffieu,53,20,52,25
1,Saint-Alban,47,15,42,20
1,Saint-André-de-Bâgé,206,43,222,39
1,Saint-André-de-Corcy,828,214,864,268
1,Saint-André-d'Huiriat,173,31,157,30
1,Saint-André-le-Bouchoux,104,20,100,23
1,Saint-André-sur-Vieux-Jonc,301,86,313,111
1,Saint-Bénigne,349,111,330,107
1,Saint-Benoît,232,58,228,81
1,Saint-Bernard,383,131,382,172
1,Saint-Bois,39,11,31,17
1,Saint-Champ,46,18,40,20
1,Sainte-Croix,165,26,154,31
1,Saint-Cyr-sur-Menthon,514,101,502,119
1,Saint-Denis-lès-Bourg,1452,569,1545,678
1,Saint-Denis-en-Bugey,633,178,647,201
1,Saint-Didier-d'Aussiat,248,70,231,79
1,Saint-Didier-de-Formans,515,136,528,140
1,Saint-Didier-sur-Chalaronne,759,215,747,295
1,Saint-Éloi,142,25,143,24
1,Saint-Étienne-du-Bois,711,201,713,250
1,Saint-Étienne-sur-Chalaronne,434,90,397,112
1,Saint-Étienne-sur-Reyssouze,160,59,143,48
1,Sainte-Euphémie,500,66,483,81
1,Saint-Genis-Pouilly,2992,596,2910,532
1,Saint-Genis-sur-Menthon,148,28,130,34
1,Saint-Georges-sur-Renon,55,9,62,12
1,Saint-Germain-de-Joux,148,34,128,37
1,Saint-Germain-les-Paroisses,123,35,113,38
1,Saint-Germain-sur-Renon,79,16,75,13
1,Saint-Jean-de-Gonville,524,77,478,93
1,Saint-Jean-de-Niost,434,97,407,99
1,Saint-Jean-de-Thurigneux,236,40,235,34
1,Saint-Jean-le-Vieux,485,128,461,165
1,Saint-Jean-sur-Reyssouze,211,67,205,83
1,Saint-Jean-sur-Veyle,320,76,320,72
1,Sainte-Julie,281,41,293,37
1,Saint-Julien-sur-Reyssouze,221,66,191,78
1,Saint-Julien-sur-Veyle,212,56,216,44
1,Saint-Just,290,62,268,66
1,Saint-Laurent-sur-Saône,525,113,568,228
1,Saint-Marcel,399,51,402,42
1,Saint-Martin-de-Bavel,116,32,118,30
1,Saint-Martin-du-Frêne,341,83,309,106
1,Saint-Martin-du-Mont,505,129,499,145
1,Saint-Martin-le-Châtel,236,53,234,60
1,Saint-Maurice-de-Beynost,1069,284,1160,369
1,Saint-Maurice-de-Gourdans,730,131,720,166
1,Saint-Maurice-de-Rémens,204,48,211,55
1,Saint-Nizier-le-Bouchoux,182,75,165,79
1,Saint-Nizier-le-Désert,262,44,246,40
1,Sainte-Olive,95,13,87,17
1,Saint-Paul-de-Varax,414,104,433,113
1,Saint-Rambert-en-Bugey,613,168,589,277
1,Saint-Rémy,279,64,279,79
1,Saint-Sorlin-en-Bugey,334,80,296,89
1,Saint-Sulpice,54,7,55,11
1,Saint-Trivier-de-Courtes,276,147,271,204
1,Saint-Trivier-sur-Moignans,538,121,486,182
1,Saint-Vulbas,336,59,296,96
1,Salavre,84,34,82,35
1,Samognat,209,36,201,32
1,Sandrans,144,36,147,25
1,Sault-Brénaz,315,84,293,109
1,Sauverny,302,77,330,77
1,Savigneux,364,65,360,72
1,Ségny,550,108,596,129
1,Seillonnaz,45,16,39,15
1,Sergy,581,121,595,122
1,Sermoyer,189,71,172,75
1,Serrières-de-Briord,354,110,341,130
1,Serrières-sur-Ain,49,12,38,11
1,Servas,355,70,335,66
1,Servignat,46,19,53,20
1,Seyssel,291,59,269,92
1,Simandre-sur-Suran,201,46,195,56
1,Songieu,39,18,27,19
1,Sonthonnax-la-Montagne,106,15,90,15
1,Souclin,74,22,73,28
1,Sulignat,163,35,159,43
1,Surjoux,25,7,22,12
1,Sutrieu,61,33,53,32
1,Talissieu,136,41,123,42
1,Tenay,305,124,255,147
1,Thézillieu,88,26,79,44
1,Thil,302,60,293,59
1,Thoiry,1852,247,1899,318
1,Thoissey,375,163,448,284
1,Torcieu,220,53,227,53
1,Tossiat,417,88,395,101
1,Toussieux,258,43,241,46
1,Tramoyes,490,111,508,109
1,La Tranclière,87,25,82,27
1,Treffort-Cuisiat,673,173,629,202
1,Trévoux,1992,389,1954,505
1,Valeins,28,9,30,9
1,Vandeins,192,42,190,45
1,Varambon,165,34,158,38
1,Vaux-en-Bugey,353,86,342,111
1,Verjon,73,28,73,28
1,Vernoux,97,17,92,14
1,Versailleux,111,29,105,29
1,Versonnex,595,105,656,124
1,Vesancy,169,28,165,38
1,Vescours,66,24,56,20
1,Vésines,33,5,30,8
1,Vieu-d'Izenave,203,36,190,48
1,Vieu,96,42,100,53
1,Villars-les-Dombes,1266,338,1267,547
1,Villebois,360,75,339,88
1,Villemotier,190,35,173,43
1,Villeneuve,412,68,400,76
1,Villereversure,333,103,327,160
1,Villes,109,21,107,29
1,Villette-sur-Ain,219,29,200,29
1,Villieu-Loyes-Mollon,1009,188,975,198
1,Viriat,1772,524,1812,570
1,Virieu-le-Grand,348,79,327,96
1,Virieu-le-Petit,99,32,86,34
1,Virignin,286,61,297,68
1,Vongnes,19,14,19,10
1,Vonnas,786,239,770,327
2,Abbécourt,156,39,139,52
2,Achery,173,44,166,57
2,Acy,286,77,294,75
2,Agnicourt-et-Séchelles,58,19,60,18
2,Aguilcourt,124,16,121,23
2,Aisonville-et-Bernoville,87,18,78,28
2,Aizelles,36,12,34,9
2,Aizy-Jouy,94,15,85,20
2,Alaincourt,153,36,154,32
2,Allemant,49,5,53,7
2,Ambleny,340,66,337,89
2,Ambrief,29,5,19,4
2,Amifontaine,120,28,115,32
2,Amigny-Rouy,231,49,205,55
2,Ancienville,23,4,26,4
2,Andelain,59,16,57,11
2,Anguilcourt-le-Sart,85,18,87,23
2,Anizy-le-Château,534,155,550,234
2,Annois,116,31,114,37
2,Any-Martin-Rieux,120,44,123,52
2,Archon,19,12,21,11
2,Arcy-Sainte-Restitue,117,26,114,34
2,Armentières-sur-Ourcq,38,7,34,7
2,Arrancy,16,7,13,7
2,Artemps,112,17,117,23
2,Artonges,58,12,60,14
2,Assis-sur-Serre,78,20,62,33
2,Athies-sous-Laon,739,193,776,266
2,Attilly,118,23,108,29
2,Aubencheul-aux-Bois,74,27,77,34
2,Aubenton,183,61,168,78
2,Aubigny-aux-Kaisnes,72,16,69,18
2,Aubigny-en-Laonnois,37,4,32,11
2,Audignicourt,33,3,32,6
2,Audigny,74,12,69,21
2,Augy,23,6,26,9
2,Aulnois-sous-Laon,402,87,412,93
2,Les Autels,16,11,15,11
2,Autremencourt,43,12,37,18
2,Autreppes,50,11,47,19
2,Autreville,237,64,253,72
2,Azy-sur-Marne,119,32,138,28
2,Bagneux,21,3,19,7
2,Bancigny,9,4,6,3
2,Barenton-Bugny,157,37,179,48
2,Barenton-Cel,42,5,38,9
2,Barenton-sur-Serre,39,8,37,5
2,Barisis-aux-Bois,220,59,210,76
2,Barzy-en-Thiérache,87,27,79,33
2,Barzy-sur-Marne,111,43,112,41
2,Bassoles-Aulers,39,6,43,15
2,Baulne-en-Brie,80,21,67,31
2,Bazoches-sur-Vesles,129,30,129,33
2,Beaumé,26,16,20,21
2,Beaumont-en-Beine,50,12,49,14
2,Beaurevoir,392,115,385,182
2,Beaurieux,236,47,215,64
2,Beautor,804,188,784,275
2,Beauvois-en-Vermandois,84,23,71,32
2,Becquigny,82,14,74,13
2,Belleau,47,6,32,15
2,Bellenglise,96,28,113,35
2,Belleu,1027,358,1094,606
2,Bellicourt,184,35,188,47
2,Benay,65,15,70,18
2,Bergues-sur-Sambre,61,22,65,19
2,Berlancourt,27,5,29,10
2,Berlise,31,8,32,16
2,Bernot,122,30,125,41
2,Berny-Rivière,192,40,192,46
2,Berrieux,56,14,51,15
2,Berry-au-Bac,197,35,165,47
2,Bertaucourt-Epourdon,192,36,181,34
2,Berthenicourt,57,13,63,17
2,Bertricourt,50,2,49,6
2,Berzy-le-Sec,124,25,117,31
2,Besmé,46,8,43,11
2,Besmont,48,23,35,26
2,Besny-et-Loizy,105,28,113,28
2,Béthancourt-en-Vaux,146,27,147,31
2,Beugneux,33,6,35,9
2,Beuvardes,218,52,201,56
2,Bézu-le-Guéry,84,12,80,13
2,Bézu-Saint-Germain,284,37,286,33
2,Bichancourt,312,72,316,86
2,Bieuxy,7,5,10,1
2,Bièvres,21,5,23,6
2,Billy-sur-Aisne,321,104,317,153
2,Billy-sur-Ourcq,59,13,59,17
2,Blanzy-lès-Fismes,30,11,29,11
2,Blérancourt,333,96,343,136
2,Blesmes,117,38,124,29
2,Bohain-en-Vermandois,1482,432,1583,658
2,Bois-lès-Pargny,60,11,62,12
2,Boncourt,84,16,82,16
2,Bonneil,118,25,114,27
2,Bonnesvalyn,86,6,70,11
2,Bony,45,5,41,7
2,Bosmont-sur-Serre,61,13,54,25
2,Bouconville-Vauclair,62,12,54,18
2,Boué,355,87,384,137
2,Bouffignereux,28,8,29,11
2,Bouresches,62,13,56,15
2,Bourg-et-Comin,204,65,207,116
2,Bourguignon-sous-Coucy,30,6,27,9
2,Bourguignon-sous-Montbavin,36,13,38,15
2,La Bouteille,133,48,138,54
2,Braine,594,159,604,323
2,Brancourt-en-Laonnois,220,44,216,52
2,Brancourt-le-Grand,165,39,171,59
2,Brasles,356,144,380,221
2,Braye-en-Laonnois,59,21,60,22
2,Braye-en-Thiérache,42,14,32,22
2,Bray-Saint-Christophe,27,3,25,2
2,Braye,38,7,31,13
2,Brécy,98,29,98,32
2,Brenelle,61,14,57,13
2,Breny,80,13,71,19
2,Brie,15,5,17,5
2,Brissay-Choigny,84,28,83,31
2,Brissy-Hamégicourt,194,54,184,67
2,Brumetz,53,13,61,15
2,Brunehamel,129,47,143,73
2,Bruyères-sur-Fère,61,18,51,19
2,Bruyères-et-Montbérault,428,153,432,185
2,Bruys,9,1,3,3
2,Bucilly,57,13,55,19
2,Bucy-le-Long,538,169,552,197
2,Bucy-lès-Cerny,57,5,58,17
2,Bucy-lès-Pierrepont,117,31,123,50
2,Buire,241,78,239,101
2,Buironfosse,348,82,319,129
2,Burelles,40,9,44,5
2,Bussiares,32,7,37,11
2,Buzancy,61,12,63,8
2,Caillouël-Crépigny,148,25,143,24
2,Camelin,120,35,133,33
2,La Capelle,495,164,521,260
2,Castres,73,10,67,18
2,Le Catelet,56,14,52,19
2,Caulaincourt,39,9,39,9
2,Caumont,165,41,168,54
2,Celles-lès-Condé,21,7,22,13
2,La Celle-sous-Montmirail,30,7,32,11
2,Celles-sur-Aisne,95,13,75,17
2,Cerizy,16,4,17,6
2,Cerny-en-Laonnois,26,1,19,7
2,Cerny-lès-Bucy,36,9,32,9
2,Cerseuil,32,6,28,7
2,Cessières,146,38,154,32
2,Chacrise,95,23,98,24
2,Chaillevois,45,18,55,16
2,Chalandry,75,15,73,22
2,Chambry,198,92,209,91
2,Chamouille,78,14,84,17
2,Champs,80,26,81,29
2,Chaourse,150,39,135,60
2,La Chapelle-Monthodon,53,18,49,26
2,La Chapelle-sur-Chézy,78,13,85,13
2,Charly-sur-Marne,714,177,779,259
2,Le Charmel,88,32,92,30
2,Charmes,442,143,460,193
2,Chartèves,116,19,109,31
2,Chassemy,244,59,245,52
2,Château-Thierry,4056,1003,4184,1569
2,Châtillon-lès-Sons,28,9,21,13
2,Châtillon-sur-Oise,39,8,37,14
2,Chaudardes,27,6,24,7
2,Chaudun,72,14,71,16
2,Chauny,3150,820,3496,1476
2,Chavignon,222,57,230,66
2,Chavigny,41,13,38,14
2,Chavonne,59,13,60,11
2,Chérêt,30,15,35,17
2,Chermizy-Ailles,31,7,33,7
2,Chéry-Chartreuve,106,26,98,34
2,Chéry-lès-Pouilly,201,48,192,52
2,Chéry-lès-Rozoy,28,11,22,14
2,Chevennes,40,10,39,8
2,Chevregny,63,10,60,19
2,Chevresis-Monceau,94,31,93,65
2,Chézy-en-Orxois,107,24,104,34
2,Chézy-sur-Marne,365,118,382,186
2,Chierry,278,116,302,144
2,Chigny,37,15,37,23
2,Chivres-en-Laonnois,122,18,105,33
2,Chivres-Val,163,38,177,52
2,Chivy-lès-Étouvelles,157,27,164,27
2,Chouy,120,17,114,17
2,Cierges,19,10,18,11
2,Cilly,69,21,54,24
2,Ciry-Salsogne,267,52,267,49
2,Clacy-et-Thierret,105,22,97,25
2,Clairfontaine,161,39,159,47
2,Clamecy,73,15,69,13
2,Clastres,185,42,190,44
2,Clermont-les-Fermes,41,5,43,5
2,Coeuvres-et-Valsery,119,45,98,111
2,Coincy,353,100,352,104
2,Coingt,21,10,17,14
2,Colligis-Crandelain,58,9,55,10
2,Colonfay,20,8,21,6
2,Commenchon,58,17,57,18
2,Concevreux,88,18,78,16
2,Condé-en-Brie,184,49,181,83
2,Condé-sur-Aisne,124,19,111,21
2,Condé-sur-Suippe,67,17,64,27
2,Condren,196,62,211,67
2,Connigis,106,18,98,20
2,Contescourt,20,3,16,6
2,Corbeny,225,49,202,73
2,Corcy,107,14,103,15
2,Coucy-le-Château-Auffrique,301,85,276,128
2,Coucy-lès-Eppes,178,40,169,55
2,Coucy-la-Ville,50,11,49,16
2,Coulonges-Cohan,127,29,118,35
2,Coupru,61,14,53,9
2,Courbes,12,1,11,2
2,Courboin,98,18,86,19
2,Courcelles-sur-Vesle,109,21,106,23
2,Courchamps,26,8,22,9
2,Courmelles,499,158,517,194
2,Courmont,39,13,33,12
2,Courtemont-Varennes,82,22,71,52
2,Courtrizy-et-Fussigny,20,6,12,11
2,Couvrelles,62,10,67,8
2,Couvron-et-Aumencourt,260,35,285,47
2,Coyolles,196,19,88,20
2,Cramaille,44,8,44,6
2,Craonne,25,3,23,9
2,Craonnelle,32,12,32,11
2,Crécy-au-Mont,98,26,84,20
2,Crécy-sur-Serre,405,103,401,202
2,Crépy,533,132,555,164
2,Crézancy,350,71,335,73
2,Croix-Fonsomme,57,21,58,20
2,La Croix-sur-Ourcq,42,9,34,9
2,Crouttes-sur-Marne,197,37,195,39
2,Crouy,806,220,839,350
2,Crupilly,22,0,22,4
2,Cuffies,532,126,486,157
2,Cugny,186,36,183,37
2,Cuirieux,42,10,46,10
2,Cuiry-Housse,34,8,33,8
2,Cuiry-lès-Chaudardes,23,6,16,8
2,Cuiry-lès-Iviers,9,2,10,3
2,Cuissy-et-Geny,21,4,17,5
2,Cuisy-en-Almont,104,22,103,27
2,Cutry,39,2,41,5
2,Cys-la-Commune,47,9,42,10
2,Dagny-Lambercy,38,10,39,14
2,Dallon,119,45,119,43
2,Dammard,123,28,110,42
2,Dampleux,123,25,120,28
2,Danizy,154,55,172,50
2,Dercy,113,30,99,41
2,Deuillet,65,16,62,18
2,Dhuizel,36,8,34,5
2,Dizy-le-Gros,221,67,195,80
2,Dohis,28,8,29,21
2,Dolignon,11,8,14,5
2,Dommiers,95,14,88,17
2,Domptin,197,37,179,37
2,Dorengt,47,12,44,14
2,Douchy,44,6,37,15
2,Dravegny,42,11,41,15
2,Droizy,26,2,19,8
2,Dury,57,18,59,18
2,Ébouleau,68,11,61,9
2,Effry,112,18,90,32
2,Englancourt,38,14,36,13
2,Épagny,92,30,88,20
2,Éparcy,14,2,13,3
2,Épaux-Bézu,172,37,175,40
2,Épieds,124,21,119,29
2,L'Épine-aux-Bois,85,17,69,14
2,Eppes,115,26,125,36
2,Erlon,88,15,86,18
2,Erloy,27,11,20,15
2,Esquéhéries,260,60,244,81
2,Essigny-le-Grand,328,77,330,90
2,Essigny-le-Petit,100,27,110,40
2,Essises,135,30,140,29
2,Essômes-sur-Marne,803,217,773,235
2,Estrées,123,21,126,33
2,Étampes-sur-Marne,347,89,347,128
2,Étaves-et-Bocquiaux,163,36,164,53
2,Étouvelles,62,15,71,16
2,Étréaupont,278,58,258,94
2,Étreillers,317,97,321,169
2,Étrépilly,28,8,31,6
2,Étreux,450,115,438,148
2,Évergnicourt,187,32,162,53
2,Faucoucourt,94,15,80,27
2,Faverolles,101,16,92,14
2,Fayet,178,69,181,76
2,La Fère,750,147,862,336
2,Fère-en-Tardenois,858,245,873,440
2,La Ferté-Chevresis,172,47,154,59
2,La Ferté-Milon,621,153,637,219
2,Fesmy-le-Sart,160,38,142,44
2,Festieux,183,30,194,30
2,Fieulaine,87,26,82,20
2,Filain,44,6,35,7
2,La Flamengrie,327,72,327,92
2,Flavigny-le-Grand-et-Beaurain,143,37,129,37
2,Flavy-le-Martel,421,144,418,208
2,Fleury,35,15,40,16
2,Fluquières,61,13,60,21
2,Folembray,424,92,403,137
2,Fonsomme,155,37,154,32
2,Fontaine-lès-Clercs,88,15,86,20
2,Fontaine-lès-Vervins,255,59,269,75
2,Fontaine-Notre-Dame,136,22,120,29
2,Fontaine-Uterte,36,7,38,8
2,Fontenelle,78,22,76,18
2,Fontenelle-en-Brie,68,12,62,16
2,Fontenoy,135,46,147,51
2,Foreste,50,13,44,16
2,Fossoy,179,43,176,36
2,Fourdrain,128,30,127,31
2,Francilly-Selency,118,48,120,47
2,Franqueville,38,11,41,12
2,Fresnes-en-Tardenois,77,18,74,28
2,Fresnes,51,12,45,10
2,Fresnoy-le-Grand,816,245,825,323
2,Fressancourt,72,7,56,13
2,Frières-Faillouël,299,52,301,51
2,Froidestrées,70,5,70,7
2,Froidmont-Cohartille,80,15,72,21
2,Gandelu,220,46,189,48
2,Gauchy,1407,465,1493,642
2,Gercy,85,22,88,19
2,Gergny,45,10,36,16
2,Germaine,24,4,22,8
2,Gernicourt,17,3,12,6
2,Gibercourt,12,2,14,3
2,Gizy,205,56,198,70
2,Gland,145,39,139,42
2,Glennes,68,15,68,8
2,Goudelancourt-lès-Berrieux,16,5,15,3
2,Goudelancourt-lès-Pierrepont,48,9,43,12
